Lebensmittel schuld an europäischer Inflation	Food: Where European inflation slipped up	Food is to blame for European inflation
Der Weltmarktpreis für Rohöl stieg in diesem Jahr um 52 Prozent - im vergangenen Monat erreichte der Preis pro Fass des schwarzen Goldes nahezu 100 US Dollar.	The world market price of crude oil shot up by 52 percent this year, with the black gold costing nearly 100 dollars a barrel last month.	The world price of crude oil rose this year by 52% - last month the price per band of the black gold reached almost USD 100.
Der EZB zufolge wird die Inflation im Jahr 2008 von 2,1 auf 2,5 Prozent steigen, allerdings rechnet man 2009 mit einem Rückgang auf 1,9 Prozent.	The ECB predicts that 2008 inflation will climb to 2.5 percent from the earlier 2.1, but will drop back to 1.9 percent in 2009.	According to the ECB, inflation will rise from 2.1% to 2.5% in 2008, but it is expected to fall to 1.9% in 2009.
Für die kommenden 3-4 Monate gehen Analysten von einer 3-Prozent-Inflationsrate aus, beziffern die jährliche Durchschnittsrate aber mit 2,1 Prozent.	Analysts see the 12-month inflation rate as holding steady at about 3 percent over the next 3-4 months, but say that the annual average rate will be 2.1 percent.	For the next 3-4 months analysts are working on a 3% rate of inflation, but the average annual rate is 2.1%.
Für 2008 rechnen Experten damit, dass die EZB die Zinsen zweimal senken wird.	They also predict that the ECB will cut interest rates twice during the course of 2008.	Experts expect the ECB to lower interest rates twice in 2008.
Gallup ortet Regierungskrise	Government crisis coming, says Gallup	Gallup against a government crisis
Nach langem Stagnieren ist die Zahl der Fidesz-Sympathisanten bis Anfang Dezember erheblich gewachsen. Erstmal seit 2002 verfügt die Partei über das größte Basislager, während die Zustimmung für die Sozialisten laut Gallup einen noch nie dagewesenen Tiefpunkt von 13 Prozent erreicht hat.	Fidesz support shot up significantly in early December after a lengthy period of just holding its own. This gives it the strongest support base it has seen since 2002, while Gallup reports support for the socialists at an all-time low of 13 percent.	After a long stamping, the number of Fidesz sympathisers increased considerably by the beginning of December, and for the first time since 2002 the party has had the largest base camp, while the Socialist Group's vote, according to Gallup, reached an unprecedented low of 13%.
Bei den parteitreuen Wählern fällt der Unterschied dank der hohen Entschlossenheit der Oppositionsbefürworter deutlich aus: Mehr als zwei Drittel (71 Prozent) stehen einem Fünftel (20 Prozent) Zustimmung für die MSZP gegenüber.	Among people with a clear party preference, given the stronger resolve of opposition voters, Fidesz support exceeds the two-thirds mark (71 percent), while MSZP has garnered but one-fifth (20 percent).	The difference is clear among the party leaders, thanks to the strong determination of those in favour of the opposition: more than two thirds (71%) are in favour of a fifth (20%) MSZP.
MDF und SZDSZ liegen laut Umfrage unter der parlamentarischen Einstiegshürde: Sie kommen in der Gesamtbevölkerung auf zwei Prozent.	The poll puts MDF and SZDSZ numbers below the threshold needed to get into parliament; garnering about 2 percent support each within the entire sample.	MDF and SDZ are, according to the survey, below the parliamentary entry barrier: they reach 2% of the population as a whole.
Die Anzahl der Parteiwähler ist in beiden Lagern um ein Prozent gewachsen.	Among people with clear party preferences who say they definitely would vote, support for these two parties is 3 percent each.	The number of party members has increased by 1% in both camps.
Im Vergleich zum letzten Tiefpunkt hat sich die allgemeine wirtschaftliche Stimmung weiter verschlechtert - noch nie zuvor war der Anteil derer, die die Wirtschaftslage des Landes als "ausgesprochen schlecht" beurteilen, so hoch (41 Prozent), während weitere 46 Prozent sie für "ziemlich schlecht" halten.	The public mood regarding the economy has managed to sink even lower than the rock-bottom last measured. The proportion who believe the country's economy is in the pits is an unprecedented 41 percent, while another 46 percent just think it is in bad shape.	Compared with the last low, the general economic climate has deteriorated even further - never before has the proportion of those who regard the country's economic situation as' extremely poor 'been so high (41%), while a further 46% consider it to be' quite bad '.
Nach hoffnungsvolleren Aussichten im Frühjahr und Sommer sehen die Familien die Veränderung ihrer finanziellen Lage erneut pessimistischer.	Following higher hopes in spring and summer, people are again more pessimistic about the financial prospects for their families.	After more hopeful prospects in the spring and summer, families are once again more pessimistic about changing their financial situation.
Für das kommende Jahr rechnet die Mehrheit der Bevölkerung mit einer weiteren Verschlechterung der Situation; nur ein Zehntel geht von einer Besserung aus.	For next year, over half the public expects things to get worse and only one in ten predicts an improvement.	For next year, the majority of the population expect the situation to deteriorate further; only a tenth expect it to improve.
Eine im Dezember durchgeführte Gallup-Umfrage ergab, dass 71% der Befragten - ein historisches Hoch - die Arbeit des Premierministers als "eher schlecht als recht" beurteilten.	In Gallup's December poll, more respondents than ever before - 71 percent - said the prime minister was doing a poor rather than a good job.	A Gallupat survey in December showed that 71% of those questioned - a historical hook - considered the work of the Prime Minister to be 'rather poor than wrong'.
Dreizehn Prozent der Befragten haben großes Vertrauen oder Vertrauen allgemein in Ferenc Gyurcsány, während der Anteil der Befürworter für Viktor Orbán 38 Prozent ausmacht.	Thirteen percent of the sample said it trusted or highly trusted Ferenc Gyurcsány, while 38 percent put their trust in Viktor Orbán.	Thirteen per cent of those questioned have great confidence or confidence in Ferenc Gyurcsány in general, while the 'yes' vote for Viktor Orbán is 38%.
Rund 54% vertrauen dem Regierungschef überhaupt nicht, verglichen mit 27% Misstrauen gegen den Parteichef der Fidesz.	Fifty-four percent said they did not trust the PM, while 27 percent said they mistrusted the Fidesz chairman.	Around 54% do not trust the Head of Government at all, compared with 27% of the government's party leader, in distrust of Fidesz.
Einer der Indikatoren der politischen Stimmung ist die Anzahl derer, die meinen, man könnte die Unzufriedenheit mit dem Ministerpräsidenten auch ohne Regierungswechsel in den Griff bekommen.	One gauge of the political situation is the proportion of people who believe that dissatisfaction with the prime minister can be managed without having to put a new government in office.	One of the indicators of the political mood is the number of people who think that dissatisfaction with the Prime Minister can be overcome even without a change of government.
Hatten sich nach den Unruhen im vergangenen Oktober noch 35% für den Verbleib der Regierung und des Regierungschefs ausgesprochen, beläuft sich dieser Anteil heute auf nur noch 20%, während die relative Mehrheit (33 Prozent) die Lösung nur in Neuwahlen sieht.	Following last October's rioting, 35 percent of the public thought it would be best to keep the government and PM in office. By now that proportion is down to 20 percent and the relative majority (33 percent) believes new elections should be held.	If, after the unrest last October, 35% had declared themselves in favour of the government and the Heads of Government remaining, this figure now stands at only 20%, while the relative majority (33%) sees the solution only in new elections.
Gefragt nach ihrem Interesse an der Volksabstimmung antworteten 60 Prozent, dass sie "mit Sicherheit" partizipieren, und weitere 20% ihr Votum "wahrscheinlich" abgeben würden.	When queried about interest in a referendum, 60 percent of the sample said it definitely would vote in one, while another 20 percent said it most likely would go to the polls.	If asked for their interest in the referendum, 60% replied that they would 'certainly' participate and a further 20% would 'probably' vote.
Zum Vergleich: würden die Parlamentswahlen an diesem Sonntag stattfinden, würden nur 55 Prozent "mit Sicherheit" zu den Urnen gehen, weitere 15% halten ihre Teilnahme für "wahrscheinlich". Angesichts dieser Tendenzen wäre das Ergebnis der Volksabstimmung absehbar.	In comparison, only 55 percent said it would definitely vote "in parliamentary elections if they were to be held this Sunday" while another 15 percent said it most likely would cast a ballot. Given current determination to vote, the referendum is certain to be valid.	By way of comparison, if the parliamentary elections were to take place this Sunday, only 55% would go to the ballot boxes' with certainty ', and a further 15% would consider their participation' likely ', and in view of these trends the referendum would have a predictable result.
74% würden gegen die Studiengebühren, 79% gegen die Praxisgebühr, und 84% gegen das Krankenhaus-Taggeld stimmen.	74 percent of people want to repeal tuition fees, 79 percent to scrap co-payments for doctor visits and 84 percent want to end per diem hospital charges.	74% would vote against the study fees, 79% against the practical fee and 84% against the hospital allowance.
Umgelegt auf die Gruppe der an der Volksabstimmung "mit Sicherheit" Teilnehmenden würden die Anteile der Gegner der Studien-, Praxis- und Krankenhausgebühren sogar 81, 84, bzw. 89 Prozent betragen.	Looking only at the ratios of people who say they definitely will vote in the referendum, we find that 81 percent are against tuition fees, 84 percent are against doctor co-payments and 89 percent oppose hospital per diems.	If the group of 'certainly' participants in the referendum were to be included, the proportion of those who oppose study, practical and hospital fees would be as high as 81, 84 or 89%.
Auchan am teuersten, Tesco erhöht um fast ein Fünftel	Auchan prices are highest, Tesco's are up by almost 20 percent	Auchan the most expensive, Tesco the size of almost a fifth
Die Hypermarkets im Budaörser Handelsgebiet haben auch dieses Jahres die durchschnittliche Preiserhöhung von 16% vom letzten Jahr beibehalten, mit dem Unterschied, dass es dieses Jahres keine Erhöhung der Mehrwertsteuer gab.	The giant supermarkets located in the shopping triangle at Budaörs hiked prices by an average of 16 percent for the second year in a row, though they did not have to contend with a VAT increase which they did last year.	The hypermarkets in the Budaörser trading area have this year also maintained the average increase in the price of 16% last year, with the difference that there has been no increase in VAT this year.
Artikel aus Napi Gazdaság	Article from Napi Gazdaság	Article from Napi Gazdaság
Im Budaörser Handelsdreieck hat der Preis des üblichen Weihnachtskorbes der "Napi" auch dieses Jahres um 16 Prozent zugenommen, allerdings wurden in allen Hypermärkten Preiserhöhungen von über 1.000 HUF registriert.	Prices In Napi's usual Christmas basket were up by an average of 16 percent again this year in the Budaörs shopping triangle, with each of the giant supermarkets pushing prices up by well over a thousand forints.	In the Budaörser Triangle, the price of the Napi's normal Christmas basin has increased by 16% this year as well, but in all hypermarkets price increases of over 1 000 HUF have been recorded.
Nachdem die Preise in den Lebensmittelmärkten im vergangenen Dezember "davongaloppiert" sind, ist die Teuerung prozentuell nicht drastisch ausgefallen, verglichen mit dem ohnehin hohen, früheren Ausgangsniveau.	Since supermarket prices went through the roof last December, the hikes did not look quite as drastic percentage-wise, when compared to that high base.	After the 'davongalkali' prices on the food markets last December, the price rate has not been very high in percentage terms compared with the already high, earlier level.
Allerdings wirkt es auf die Verbraucher bestimmt abschreckend, dass das, wofür sie im letzten Jahr noch weit unter 9.000 HUF bezahlt hatten, dieses Jahres nicht einmal für 10.000 HUF erhältlich ist.	Nonetheless, it has to be a shock to consumers to discover that they need over ten thousand forints to buy the same products they could get for well under nine thousand a year ago.	However, it is a deterrent to consumers that what they had paid for in the last year, well below FUF 9 000, is not available even for HUF 10 000 this year.
Der Preis des "Napi" Warenkorbs überschritt die magische 10.000-HUF-Grenze um mindestens 91 HUF in den untersuchten Märkten.	Napi's basket exceeded the psychological HUF 10,000 limit by a minimum of HUF 91 at the giant supermarkets tested.	The price of the 'Napi' grades of goods exceeds the magic 100-HUF border by at least 91 HUF in the markets under examination.
Der höchste Preis betrug 10.573 HUF.	The most expensive basket cost us 10 573 forints.	The highest price was 10.573 HUF.
(In 6800 lag der Preis bei 6.800 HUF.)	(in 2003, the same basket came to 6,800 forints.)	(In 6800, the price was at 6800 HUF)
Die Preise für Unicum und lebendigen Fisch blieben nahezu auf Vorjahresniveau, stark gestiegen sind hingegen die Preise für Putenbrustfilets, Nuss und Mohn.	The price of Unicum and live fish stayed at roughly last year's level, but boneless turkey breast, walnuts, and poppy seeds were up significantly.	The prices of Unicum and living fish were close to last year's level, but the prices of turf-break fillets, fos and poppies have risen sharply.
Preise für Mehl und Brot entsprachen den Daten des Zentralen Statistischen Amtes von Ungarn, bei Auchan gab es jedoch 1kg Brotwecken für 139 Forint.	We found the price of flour and bread to be mostly in line with official Statistics Office data, though we discovered bread going for 139 forints a kilogram at Auchan.	Prices for flour and bread were in line with data from the Hungarian Central Statistical Office, but in Auchan there were 1 kg of bread arches for 139 forints.
Es gab beim Produkt keinen wettbewerbsbedingten Preissturz auf unter 200 Forint.	The competition factor was not enough to push the product's price down to under 200 forints.	There was no competitive fall in prices to less than 200 pints.
Ebenfalls überraschend war hier der Preis einer zwei Liter Coca-Cola Pfandflasche von unter 200 Forint, somit kostete das Getränk inklusive Pfand nur 257 HUF.	Another surprise in this store was that it charged less than 200 forints for a two-litre bottle of Coca-Cola in a bottle with a deposit on it, so the full price including deposit was still only 257 forints.	Also surprising was the price of two litres of Coca-Cola Pfandflasche under 200 forint, so the beverage, including deposits, only cost 257 HUF.
Dennoch schnitt dieses Jahres im "Napi" Warenkorbs-Vergleich Auchan am teuersten, und Cora am günstigsten ab.	Nevertheless, this year Napi's basket cost the most at Auchan and the least at Cora.	However, this year's most expensive difference was the Auchan product's' Napi 'comparison, and Cora.
Unsere Berechnungen haben ergeben, dass Cora die Preise im "Napi" Warenkorb gegenüber den Weihnachtspreisen im vergangenen Jahr um 15, während Tesco und Auchan jeweils um 18 Prozent erhöht haben.	We worked the numbers and found that Napi's basket cost 15 percent more than last Christmas at Cora, while it was 18 percent more expensive at both Tesco and Auchan.	Our calculations have shown that Cora has increased the prices in the Napi basket by 15% compared with the Christmas prices last year, while Tesco and Auchan have each increased by 18%.
Der Unterschied zwischen dem billigsten Warenkorb des Vorjahres und dem teuersten des heutigen  Jahres betrug 12%, während die Erhöhung zwischen billigstem Warenkorb des vergangenen Jahres und teuerstem des laufenden Jahres 21% ausmachte.	The difference between last year's most expensive and this year's cheapest basket cost was 12 percent, while the gap between last year's cheapest and this year's most expensive one was 21 percent.	The difference between last year's cheapest basket and today's most expensive one was 12%, while the increase between last year's cheapest basket and the most expensive one was 21% for the current year.
Der durchschnittliche Preisanstieg betrug 1.480,00 HUF.	In forints, the average increase was 1,480.	The average price increase was 1 480.00 HUF.
Die durchschnittliche Preiserhöhung lag im Vorjahr noch bei 1.206,00 Forint, allerdings machte sich die Mehrwertsteuererhöhung bei den Preisen zu letzten Weihnachten bemerkbar.	Last year, the average increase came to 1,206 forints, which included the effects of a VAT hike.	Last year's average price increase was 1 206.00 Forint, but the VAT increase at last Christmas prices was noticeable.
Genau dieser Vorgang hat den Handel arg getroffen: Anscheinend konnten die Warenhäuser nicht so recht entscheiden, welche Preisspanne sie bei den einzelnen Artikeln anwenden sollen, da die Auswirkungen der Preiserhöhung auf das Konsumverhalten unabsehbar waren.	And this was the factor that totally confused the commerce sector. The supermarkets were obviously unable to decide on the size of the price gap to apply to specific products, finding it impossible to calculate the effect the price increases would have on consumption.	This is exactly what has hit the trade hard: it seems that the stores have not been able to decide quite clearly what price margin they should apply to the various articles, since the impact of the price increase on consumer behaviour was incalculable.
(Wenn der Händler die Umlaufgeschwindigkeit eines Produktes schlecht plant, kann er um wesentliche Gewinne fallen in der Preisspanne, die sich nach der Verkehrsintensität richtet.)	(If the outlet makes a mistake in calculating the turnover velocity of a product, it stands to take a major hit on its profits with a price gap adjusted to turnover intensity.)	(If the trader does not plan the circulation speed of a product well, he may fall within the bounds of the road traffic intensity by making substantial profits)
Mehwertsteuer-bedingt fiel die Teuerung des "Napi" Warenkorbes im vergangenen Jahr derart radikal aus, dass der teuerste Korb den Wert von 2006 um 1720 Forint überschritt, wohingegen der Preisunterschied beim billigsten Korb bloß 844 Forint betrug.	Last year, with the VAT hike the price increase in Napi's basket ran up against such extremes that the most expensive basket was 1,720 forints over the 2006 level, while the cheapest was only 844 forints more expensive.	The MDM tax rate inflation last year was so radical that the most expensive basket exceeded the 2006 value by 1720 forint, while the price differential in the cheapest basket was only 844.
Dieses Jahres wurden solche Extreme nicht beobachtet, da der teuerste Korb um 1.630,00 Forint mehr kostete, als im Vorjahr, und selbst beim billigsten gab es einen Preisanstieg von 1.284,00 Forint.	This year, there were no such extremes, with the most expensive basket being 1,630 forints up from last year while the cheapest was 1,284 forints higher.	This year, extremes of this kind were not observed, as the most expensive body cost 1.630.00 more than last year, and even the cheapest one had an increase in prices of 1.284.00.
Im Vergleich der beiden letzten Weihnachtssaisons zeigte sich eine katastrophale Preiserhöhung, der Preis der täglichen Verbrauchsartikel in den Hypermärkten ist in weniger als 20 Monaten um mehr als 30 Prozent gestiegen.	A comparison of the two Christmas seasons threw light on a disastrous jump in prices. In less than 20 months, day-to-day consumer goods soared by over 30 percent in the giant supermarkets.	Compared with the two last Christmas seasons, prices rose dramatically, and the price of everyday consumer goods in hypermarkets rose by more than 30% in less than 20 months.
(Dies wiederum bestätigt nicht unbedingt die Daten des Zentralen Statistischen Amtes von Ungarn: Bei manchen Grundnahrungsmitteln stellte das Statistische Amt im Zeitraum von 12 Monaten eine mehr als 30-prozentige Teuerung fest.	(This is not quite in line with official Statistics Office data: its figures show price increases of over 30 percent in just 12 months for certain basic foodstuffs	(This, in turn, does not necessarily confirm the data from the Central Statistical Office of Hungary: for some basic foodstuffs, the Statistical Office established a more than 30% increase over 12 months.
So in etwa neben Mehl auch bei Eiern.)	including both flour and eggs.)	So in more or less the same way as meal, for eggs.)
Wirft man jedoch einen Blick in den "Napi" Warenkorb, scheint dies bei Letzterem nahezu unmöglich, da das Preisniveau des bereits im Vorjahr teuren Produktes selbst im schlimmsten Fall um kaum mehr als 10 Prozent angestiegen ist.	Napi's basket suggested that this latter was a near impossibility, since we found that the price was up by just a shade over 10 percent on last year's quite high base price, even where it was most expensive.	However, when you look at the 'napi' basket, it seems almost impossible for the latter, since the price level of the product, which was already expensive last year, has even risen by barely more than 10% at worst.
Offensichtlich befinden sich Mehllieferanten in einer stärkeren Position, als die Eilieferanten - immerhin konnten sie die drastische Preiserhöhung auf die Multis abwälzen.	It does appear though, that flour suppliers are in a stronger position than egg producers, for they have managed to force their drastic price increases onto the multinationals.	It is clear that pole-keepers are in a stronger position than the egg suppliers - they were able to pass the drastic price increase on to the multinationals.
Im goldenen Handelsdreieck beklagen sich die Hypermärkte nicht; Es wird laufend von guten Jahren berichtet.	Nonetheless, none of the supermarkets in the golden shopping triangle were complaining. All regularly reported that they were having a good year.	In the golden trade triangle, hypermarkets do not complain; good years are constantly being reported.
Unsere Erfahrung zeigt, dass die Mehrheit der Kunden in den drei Warenhäusern gar nicht mehr auf die Preise schaut.	We found that most shoppers in the three outlets visited were not really interested in prices.	Our experience shows that the majority of customers in the three stores no longer look at prices.
Es werden aus allem große Mengen eingekauft, haltbare Lebensmittel gehen in Paletten über die Ladentische.	They tended to shop in bulk, buying durable foodstuffs by the pallet.	Large quantities are being purchased, and durable food goes through the counter in palette.
Mittwoch Vormittag vormittags gab es in allen drei Warenhäusern endlose Schlangen bei der Kassa, als plötzlich die Zahl der Kunden explodierte.	On a Wednesday morning there were long queues at all cash registers following a sudden increase in shoppers.	On Wednesday morning morning, there were endless queues at Kassa in all three product centres, when the number of customers suddenly exploded.
Allerdings wird vom Land eine geringere Kundenfrequenz berichtet, sodass sich viele Multis bei den Meinungsforschern beklagen, sie könnten nicht einmal den geplanten Umsatz erreichen, und zwar nicht nur bei Lebensmitteln, sondern auch bei nachhaltigen Konsumgütern.	However, to our knowledge, turnover is lower in the rural areas. Several of the multinationals have been complaining to pollsters that their inflow has been below the anticipated level in both groceries and durable consumers.	However, the country reports a lower number of customers, so many multinationals complain to opinion scientists that they cannot even achieve the planned turnover, not only in food but also in sustainable consumer goods.
Vielerorts wird an Desinfektionsmitteln gespart	Many hospitals try to save by cutting disinfectant use	In many places disinfectants are saved.
Heuer wurden mehr als tausend Infektionen in Krankenhäusern registriert, die auf einen unsachgemäßen Umgang mit Antibiotika zurückzuführen waren.	Hospitals have registered over a thousand cases of infections triggered mainly by the inappropriate use of antibiotics.	Today, more than a thousand infections were registered in hospitals, which were due to incorrect use of antibiotics.
Die hygienischen Bedingungen in den Krankenhäusern, die Überbelegung der Betten, die Überbelastung des Personals - alles Faktoren, die dem Eindämmen der Infektionen nicht gerade zuträglich sind, so die leitende Ärztin des Nationalen Epidemiologiezentrums.	Hospital cleanliness, overcrowding, and overburdened staff are not conducive to halting infections, said the division chief at the National Centre for Epidemiology.	Hygiene conditions in hospitals, the overcrowding of beds, the overburdening of staff - all factors which do not help to contain the infections - are the leading doctor of the National Epidemiological Centre.
Vielerorts wird auch bei den Desinfektionsmitteln gespart.	Many places even try cutting back on disinfectant use to save money.	In many places, disinfectants are also being saved.
In der Traumatologie-Abteilung des János Krankenhauses wurde unlängst eine MRSA-Infektion diagnostiziert.	An MRSA - an antibiotic resistant staphylococcus - infection was recently diagnosed in the traumatology ward of János hospital.	A MRSA infection was recently diagnosed in the János Hospital trauma department.
Das gegen Antibiotika resistente Bakterium wurde in einem männlichen Patienten gefunden, der nach einem schweren Unfall ins Krankenhaus eingeliefert wurde.	The infection was detected in a man who had been hospitalized after a major accident.	Bacterium resistant to antibiotics was found in a male patient who was hospitalised after a serious accident.
Der Patient wurde isoliert.	The patient was isolated.	The patient has been isolated.
Zu Beginn des Jahres gab es hier bereits eine ähnliche Infektion.	The same hospital had had to contend with a similar infection early this year.	At the beginning of the year, there was a similar infection here.
Der Verletzte eines schweren Autounfalls wurde aus dem Krankenhaus entlassen, wenig später musste der Mann allerdings mit einer MRSA-Infektion zurückkehren. Eine wichtige Operation konnte seitdem wegen des Bakteriums, das sich immer noch im Körper des Patienten befindet, noch nicht durchgeführt werden.	It had discharged a patient admitted after a serious traffic accident. Shortly afterward, it had to re-admit the patient because of an MRSA infection, and doctors have been unable to perform surgery that would be vital to full recovery because they have been unable to get rid of the staph.	The injured person in a serious car accident was released from the hospital, but shortly afterwards the man had to return with an MRSA infection, and an important operation has not yet been carried out since then because of the bacterium that is still in the patient's body.
Bis 10. Dezember dieses Jahres wurden aus Krankenhäusern 1094 durch multiresistente Erreger ausgelöste Infektionen an das Nationale Nosocomialis Surveillance System gemeldet, so die leitende Ärztin des Nationalen Epidemiologiezentrums, Karolina Böröcz.	This year, up to 10th of December, hospitals have reported 1,094 cases of infections caused by antibiotic-resistant pathogens to the National Nosocomial Surveillance System, said National Centre for Epidemiology physician-in-chief Karolina Böröcz.	By 10 December this year, 1094 infections caused by multi-resistant pathogens were reported to the NCA Surveillance System from hospitals, such as the leading doctor of the National Epidemiological Centre, Karolina Böröcz.
So viele, durch multiresistente Erreger ausgelöste Infektionen wurden in den Krankenhäusern also mit Sicherheit registriert, die Dunkelziffer dürfte aber höher sein.	This tells us the number of cases of antibiotic-resistant pathogens that hospitals actually included in their records, but nothing more.	So so many infections caused by multi-resistant pathogens have certainly been registered in hospitals, but the number of unreported cases should be higher.
Etwa zwei Drittel der Infektionen (683 Fälle) wurden vom MRSA, dem gegen Methicillin-Oxacillin resistenten Staphylococcus aureus ausgelöst.	About two-thirds of the infections (683 cases) were caused by MRSAs, whose official name is a methicillin (oxacillin) resistant Staphylococcus aureus.	About two thirds of the infections (683 cases) were caused by the MRSA, the Staphylococcus aureus, which is resistant to methicillin-Oxacillin.
Das Staphylococcus aureus (SA) Bakterium trägt etwa ein Drittel der Menschen in ihrer Nase, ohne dass es eine Krankheit verursachen würde.	One-third of all people carry the Staphylococcus aureus (SA) bacteria in their noses without it ever causing an infection.	Staphylococcus aureus (SA) carries about a third of the people in their noses without causing any disease.
SA-bedingte Infektionen (wie etwa Halsentzündung, Mandelentzündung, Entzündungen der Haut oder Wunden) reagieren meist gut auf Antibiotika, sie sind gut heilbar.	The infections SA does cause (such as sore throat, tonsillitis, minor skin infections, and wound infections) respond well to antibiotics and can be treated.	SA-related infections (such as half-fling, almonium, skin or wounds) usually respond well to antibiotics, they are good for cure.
Werden die Mittel allerdings zu hoch dosiert oder unsachgemäß angewendet, entstehen aus den gut respondierenden Bakterien Antibiotika-resistente, die sich unter entsprechenden Bedingungen in den Krankenhäusern schnell ausbreiten.	However, if antibiotics are overused or inappropriately used, the bacteria that originally responded well to antibiotics can evolve into an antibiotic-resistant variety, which spreads rapidly in hospitals if hygienic conditions are lax.	However, if the funds are overbudgeted or used improperly, the good correspondents of bacteria will result in antibiotic resistant genes, which will spread rapidly in hospitals under appropriate conditions.
Insbesondere bei Patienten mit geschwächtem, oder dauerhaft schlecht funktionierendem Immunsystem, aber auch in älteren, oder Patienten mit geringem Körpergewicht können diese Bakterien schwere Infektionen, wie etwa Wundinfektion oder Blutvergiftung, also Sepsis, verursachen.	Particularly at risk are elderly and low-body-weight patients whose immune systems have been temporarily or permanently compromised. Among these patients, the staph can cause serious nosocomial infections such as wound infections or sepsis.	In particular, for patients with weakened or permanently inefficient immune systems, but also in older or low body patients, these bacteria can cause serious infections, such as gun-infections or blood poisoning, or Sepsis.
Dem ärztlichen Leiter des János Krankenhauses zufolge ist die MRSA-Infektion nichts besonderes, solche Vorfälle gehören zum Krankehausalltag.	According to János Hospital's medical director, there is nothing unusual about having an MRSA infection since they are part of everyday hospital life.	According to the medical director of János Hospital, MRSA infection is not special, such incidents are part of everyday sick leave.
Man dürfe die Infektion nicht mit der Epidemie verwechseln, mahnte Tibor Nyulasi - MRSA gibt es nur dort nicht, wo sie nicht gesucht wird.	One should not confuse an infection with an epidemic, Tibor Nyulasi says. MRSA will be found everywhere anyone bothers to test for it, he adds.	We must not confuse infection with the epidemic, Tibor Nyulasi warned that MRSA does not exist only where it is not sought.
Resistent gegen Antibiotika	Antibiotic resistance	Resistance to antibiotics
